STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 00:51,FM-15,FEW:02 7 SCT:04 13 BKN:07 29,6,-RA:02 PL:06 BR:1 |RA:61 PL:74 |RA:61 PL:79,33,0.6,32,0.1,31,-0.6,92,0,0,,29.97,8,,29.99,0.01,29.99,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 01:00,FM-12,,5.59,||PL:79,33,0.6,32,0.1,31,-0.6,92,0,0,,29.96,8,0.05,29.99,,,34,30,32,-1.7,,,,33,0,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 01:51,FM-15,FEW:02 6 SCT:04 13 OVC:08 35,6,-RA:02 PL:06 BR:1 |RA:61 PL:74 |RA:61 PL:79,33,0.6,33,0.3,32,0,96,0,0,,29.97,,,29.99,0.02,29.99,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 02:03,FM-16,FEW:02 6 SCT:04 13 OVC:08 35,6,-RA:02 BR:1 |RA:61 |RA:61,34,1,33,0.7,32,0,93,0,0,,29.97,,,,T,29.99,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 02:28,FM-16,BKN:07 7 BKN:07 15 OVC:08 35,5,-RA:02 BR:1 |RA:61 |RA:61,34,1,33,0.7,32,0,93,0,0,,29.97,,,,T,29.99,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 02:51,FM-15,BKN:07 7 OVC:08 15,5,-RA:02 BR:1 |RA:61 |RA:61,33,0.6,33,0.3,32,0,96,0,0,,29.97,,,29.99,T,29.99,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 03:51,FM-15,FEW:02 5 OVC:08 12,5,-RA:02 BR:1 |RA:61 |RA:61,33,0.6,33,0.3,32,0,96,0,0,,29.95,8,,29.97,T,29.97,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 04:00,FM-12,,4.97,||RA:61,33,0.6,33,0.3,32,0,96,0,0,,29.94,8,0.03,29.97,,,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 04:51,FM-15,BKN:07 11 OVC:08 35,5,-RA:02 BR:1 |RA:61 |RA:61,33,0.6,32,0.1,31,-0.6,92,0,0,,29.93,,,29.96,T,29.95,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 05:49,FM-16,BKN:07 9,5,BR:1 ||,34,1,32,0.3,30,-1,87,0,0,,29.95,,,,,29.97,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 05:51,FM-15,OVC:08 9,5,BR:1 ||,33,0.6,32,0.1,31,-0.6,92,0,0,,29.95,,,29.97,T,29.97,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 06:51,FM-15,OVC:08 7,4,BR:1 ||,33,0.6,33,0.3,32,0,96,0,0,,29.94,6,,29.96,0,29.96,,,,,,,,,,719,1639,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 07:00,FM-12,,3.73,,33,0.6,33,0.3,32,0,96,0,0,,29.93,6,0.01,29.96,,,35,,,,,,,,,719,1639,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 07:19,FM-16,BKN:07 5 OVC:08 9,2,BR:1 ||,34,1,33,0.7,32,0,93,3,220,,29.93,,,,,29.95,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 07:49,FM-16,OVC:08 5,1.25,BR:1 ||,34,1,33,0.7,32,0,93,0,0,,29.93,,,,,29.95,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 07:51,FM-15,OVC:08 5,1.25,BR:1 ||,33,0.6,33,0.3,32,0,96,3,270,,29.93,,,29.95,0,29.95,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 08:38,FM-16,OVC:08 18,2,BR:1 ||,34,1,33,0.7,32,0,93,5,260,,29.92,,,,,29.94,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 08:49,FM-16,SCT:04 18 BKN:07 75,2.5,BR:1 ||,34,1,33,0.7,32,0,93,3,250,,29.92,,,,,29.94,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,01-01-2010 08:51,FM-15,SCT:04 18 BKN:07 75,2.5,BR:1 ||,34,1.1,33,0.7,32,0,92,3,250,,29.92,,,29.94,0,29.94,,,,,,,,,,719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
